,城市,编号
1343,绥棱,101050510
1344,孙吴,101050603
1345,北安,101050606
1346,塔河,101050702
1347,呼中,101050705
1348,加格达奇,101050708
1349,七台河,101051002
1350,茄子河,101051005
1351,鸡西,101051101
1352,鸡东,101051104
1353,滴道,101051107
1354,麻山,101051110
1355,二道,101060107
1356,朝阳,101060110
1357,前郭,101060803
1358,宁江,101060806
1359,靖宇,101060902
1360,长白,101060905
1361,浑江,101060908
1362,辽中,101070103
1363,新民,101070106
1364,大东,101070109
1365,苏家屯,101070112
1366,瓦房店,101070202
1367,旅顺,101070205
1368,中山,101070208
1369,甘井子,101070211
1370,鞍山,101070301
1371,海城,101070304
1372,立山,101070307
1373,建昌,101071402
1374,连山,101071405
1375,卓资,101080402
1376,乌兰察布,101080405
1377,察右前旗,101080408
1378,四子王旗,101080411
1379,通辽,101080501
1380,科左后旗,101080504
1381,库伦,101080507
1382,科尔沁,101080510
1383,小二沟,101081002
1384,鄂伦春旗,101081005
1385,新左旗,101081008
1386,牙克石,101081011
1387,额尔古纳,101081014
1388,扎赉诺尔,101081017
1389,固安,101090602
1390,大城,101090605
1391,霸州,101090608
1392,广阳,101090611
1393,沧州,101090701
1394,海兴,101090704
1395,南皮,101090707
1396,孟村,101090710
1397,黄骅,101090713
1398,沧县,101090716
1399,邯郸,101091001
1400,成安,101091004
1401,磁县,101091007
1402,邱县,101091010
1403,馆陶,101091013
1404,武安,101091016
1405,复兴,101091019
1406,昌黎,101091103
1407,北戴河,101091106
1408,容城,101091202
1409,榆社,101100403
1410,昔阳,101100406
1411,祁县,101100409
1412,介休,101100412
1413,黎城,101100502
1414,襄垣,101100505
1415,沁县,101100508
1416,壶关,101100511
1417,晋城,101100601
1418,陵川,101100604
1419,五台县,101101003
1420,神池,101101006
1421,繁峙,101101009
1422,静乐,101101012
1423,原平,101101015
1424,临县,101101102
1425,柳林,101101105
1426,交口,101101108
1427,汾阳,101101111
1428,紫阳,101110702
1429,旬阳,101110705
1430,白河,101110708
1431,汉滨,101110711
1432,汉中,101110801
1433,留坝,101110804
1434,西乡,101110807
1435,南郑,101110810
1436,杨凌,101111101
1437,济南,101120101
1438,章丘,101120104
1439,历下,101120107
1440,天桥,101120110
1441,市南,101120203
1442,黄岛,101120206
1443,市北,101120209
1444,宁阳,101120806
1445,莒南,101120902
1446,临沭,101120905
1447,平邑,101120908
1448,兰山,101120911
1449,峄城,101121403
1450,市中,101121406
1451,五莲,101121502
1452,岚山,101121505
1453,石河子,101130301
1454,奇台,101130406
1455,蔡家湖,101130409
1456,精河,101131603
1457,阿拉山口,101131606
1458,五家渠,101131801
1459,北屯,101132101
1460,波密,101140402
1461,工布江达,101140405
1462,昌都,101140501
1463,洛隆,101140504
1464,类乌齐,101140507
1465,察雅,101140510
1466,嘉黎,101140603
1467,索县,101140606
1468,比如,101140609
1469,色尼,101140612
1470,改则,101140702
1471,普兰,101140705
1472,日土,101140708
1473,祁连,101150803
1474,刚察,101150806
1475,红古,101160109
1476,通渭,101160202
1477,临洮,101160205
1478,安定,101160208
1479,平凉,101160301
1480,崇信,101160304
1481,静宁,101160307
1482,天水,101160901
1483,秦安,101160904
1484,张家川,101160907
1485,西吉,101170402
1486,原州,101170405
1487,中卫,101170501
1488,海原,101170504
1489,宝丰,101180503
1490,舞钢,101180506
1491,新华,101180509
1492,息县,101180602
1493,新县,101180605
1494,固始,101180608
1495,平桥,101180611
1496,社旗,101180704
1497,武陟,101181103
1498,博爱,101181106
1499,中站,101181109
1500,浚县,101181202
1501,山城,101181205
1502,高淳,101190103
1503,秦淮,101190109
1504,栖霞,101190112
1505,滨海,101190703
1506,建湖,101190706
1507,盐都,101190709
1508,铜山,101190802
1509,邳州,101190805
1510,鼓楼,101190808
1511,泉山,101190811
1512,淮安,101190901
1513,洪泽,101190904
1514,清江浦,101190907
1515,泗阳,101191303
1516,宿城,101191306
1517,赤壁,101200702
1518,通城,101200705
1519,荆州,101200801
1520,石首,101200804
1521,松滋,101200807
1522,利川,101201002
1523,宣恩,101201005
1524,巴东,101201008
1525,广水,101201302
1526,杭州,101210101
1527,淳安,101210104
1528,临安,101210107
1529,下城,101210110
1530,西湖,101210113
1531,安吉,101210203
1532,南浔,101210206
1533,龙泉,101210803
1534,云和,101210806
1535,景宁,101210809
1536,浦江,101210902
1537,东阳,101210905
1538,磐安,101210908
1539,芜湖,101220301
1540,南陵,101220304
1541,弋江,101220307
1542,潘集,101220403
1543,谢家集,101220406
1544,六安,101221501
1545,金安,101221504
1546,舒城,101221507
1547,东至,101221702
1548,石台,101221705
1549,仙游,101230402
1550,秀屿,101230405
1551,泉州,101230501
1552,永春,101230504
1553,崇武,101230507
1554,石狮,101230510
1555,洛江,101230513
1556,南靖,101230603
1557,漳浦,101230606
1558,龙文,101230612
1559,吉安县,101240602
1560,峡江,101240605
1561,井冈山,101240608
1562,泰和,101240611
1563,吉州,101240614
1564,宁都,101240707
1565,于都,101240710
1566,全南,101240713
1567,寻乌,101240716
1568,章贡,101240719
1569,浮梁,101240803
1570,莲花,101240902
1571,芦溪,101240905
1572,贵溪,101241103
1573,浏阳,101250103
1574,长沙县,101250106
1575,岳麓,101250109
1576,韶山,101250202
1577,岳塘,101250205
1578,祁阳,101251402
1579,道县,101251405
1580,蓝山,101251408
1581,冷水滩,101251411
1582,遵义,101260201
1583,绥阳,101260204
1584,桐梓,101260207
1585,道真,101260210
1586,余庆,101260213
1587,播州,101260216
1588,贵定,101260402
1589,福泉,101260405
1590,罗甸,101260408
1591,三都,101260411
1592,凯里,101260501
1593,镇远,101260504
1594,麻江,101260507
1595,台江,101260510
1596,黎平,101260513
1597,榕江,101260516
1598,宣汉,101270602
1599,渠县,101270605
1600,达川,101270608
1601,遂宁,101270701
1602,船山,101270704
1603,泸州,101271001
1604,合江,101271004
1605,纳溪,101271007
1606,阿坝,101271901
1607,茂县,101271904
1608,金川,101271907
1609,马尔康,101271910
1610,红原,101271913
1611,从化,101280103
1612,荔湾,101280106
1613,天河,101280109
1614,南沙,101280112
1615,三水,101280802
1616,禅城,101280805
1617,肇庆,101280901
1618,端州,101280904
1619,封开,101280907
1620,连州,101281303
1621,佛冈,101281306
1622,清城,101281309
1623,罗定,101281402
1624,云城,101281405
1625,大理,101290201
1626,永平,101290204
1627,祥云,101290207
1628,洱源,101290210
1629,建水,101290303
1630,绿春,101290306
1631,蒙自,101290309
1632,金平,101290312
1633,景东,101290903
1634,墨江,101290906
1635,西盟,101290909
1636,宁洱,101290912
1637,陇川,101291503
1638,瑞丽,101291506
1639,西双版纳,101291602
1640,勐腊,101291605
1641,柳城,101300302
1642,柳江,101300305
1643,三江,101300308
1644,柳北,101300311
1645,平南,101300803
1646,覃塘,101300806
1647,博白,101300902
1648,陆川,101300905
1649,福绵,101300908
1650,天峨,101301202
1651,环江,101301205
1652,凤山,101301208
1653,大化,101301211
1654,北海,101301301
1655,海城,101301304
1656,东兴,101301403
1657,东方,101310202
1658,儋州,101310205
1659,琼中,101310208
1660,琼海,101310211
1661,保亭,101310214
1662,崖州,101310223
1663,三沙,101310301
1664,南沙,101310304
1665,新竹,101340103
1666,怀柔,101010500
1667,大兴,101011100
1668,金山,101020700
1669,长宁,101021300
1670,静海,101030900
1671,南开,101031500
1672,江津,101040500
1673,云阳,101041700
1674,璧山,101042900
1675,大渡口,101043500
1676,肇东,101050502
1677,明水,101050505
1678,青冈,101050508
1679,北林,101050511
1680,黑河,101050601
1681,逊克,101050604
1682,爱辉,101050607
1683,漠河,101050703
1684,新林,101050706
1685,勃利,101051003
1686,虎林,101051102
1687,鸡冠,101051105
1688,梨树,101051108
1689,南关,101060108
1690,绿园,101060111
1691,松原,101060801
1692,长岭,101060804
1693,临江,101060903
1694,抚松,101060906
1695,沈阳,101070101
1696,康平,101070104
1697,和平,101070107
1698,皇姑,101070110
1699,沈北新区,101070113
1700,金州,101070203
1701,长海,101070206
1702,西岗,101070209
1703,台安,101070302
1704,铁东,101070305
1705,千山,101070308
1706,绥中,101071403
1707,龙港,101071406
1708,化德,101080403
1709,兴和,101080406
1710,察右中旗,101080409
1711,丰镇,101080412
1712,舍伯吐,101080502
1713,青龙山,101080505
1714,奈曼,101080508
1715,巴雅尔吐胡硕,101080511
1716,阿荣旗,101081003
1717,鄂温克旗,101081006
1718,新右旗,101081009
1719,扎兰屯,101081012
1720,根河,101081015
1721,永清,101090603
1722,文安,101090606
1723,三河,101090609
1724,青县,101090702
1725,盐山,101090705
1726,吴桥,101090708
1727,泊头,101090711
1728,河间,101090714
1729,运河,101090717
1730,峰峰,101091002
1731,大名,101091005
1732,肥乡,101091008
1733,鸡泽,101091011
1734,魏县,101091014
1735,邯山,101091017
1736,秦皇岛,101091101
1737,抚宁,101091104
1738,海港,101091107
1739,安新,101091203
1740,晋中,101100401
1741,左权,101100404
1742,寿阳,101100407
1743,平遥,101100410
1744,屯留,101100503
1745,平顺,101100506
1746,长子,101100509
1747,郊区,101100512
1748,沁水,101100602
1749,高平,101100605
1750,忻州,101101001
1751,河曲,101101004
1752,宁武,101101007
1753,五台山,101101010
1754,岢岚,101101013
1755,忻府,101101016
1756,吕梁,101101100
1757,兴县,101101103
1758,石楼,101101106
1759,中阳,101101109
1760,文水,101101112
1761,石泉,101110703
1762,岚皋,101110706
1763,镇坪,101110709
1764,略阳,101110802
1765,洋县,101110805
1766,佛坪,101110808
1767,镇巴,101110811
1768,杨陵,101111102
1769,长清,101120102
1770,平阴,101120105
1771,市中,101120108
1772,历城,101120111
1773,青岛,101120201
1774,即墨,101120204
1775,莱西,101120207
1776,李沧,101120210
1777,岱岳,101120807
1778,沂南,101120903
1779,郯城,101120906
1780,费县,101120909
1781,罗庄,101120912
1782,枣庄,101121401
1783,台儿庄,101121404
1784,山亭,101121407
1785,莒县,101121503
1786,炮台,101130302
1787,昌吉,101130401
1788,阜康,101130404
1789,玛纳斯,101130407
1790,博乐,101131601
1791,博尔塔拉,101131604
1792,双河,101132201
1793,米林,101140403
1794,朗县,101140406
1795,丁青,101140502
1796,左贡,101140505
1797,八宿,101140508
1798,贡觉,101140511
1799,那曲,101140601
1800,班戈,101140604
1801,聂荣,101140607
1802,双湖,101140610
1803,札达,101140706
1804,革吉,101140709
1805,海晏,101150801
1806,海北,101150804
1807,陇西,101160203
1808,漳县,101160206
1809,泾川,101160302
1810,华亭,101160305
1811,崆峒,101160308
1812,秦州,101160902
1813,甘谷,101160905
1814,麦积,101160908
1815,隆德,101170403
1816,彭阳,101170406
1817,中宁,101170502
1818,平顶山,101180501
1819,汝州,101180504
1820,鲁山,101180507
1821,卫东,101180510
1822,罗山,101180603
1823,淮滨,101180606
1824,商城,101180609
1825,西峡,101180705
1826,淅川,101180708
1827,焦作,101181101
1828,沁阳,101181104
1829,温县,101181107
1830,马村,101181110
1831,淇县,101181203
1832,淇滨,101181206
1833,南京,101190101
1834,江宁,101190104
1835,浦口,101190107
1836,建邺,101190110
1837,雨花台,101190113
1838,盐城,101190701
1839,阜宁,101190704
1840,东台,101190707
1841,亭湖,101190710
1842,丰县,101190803
1843,睢宁,101190806
1844,云龙,101190809
1845,金湖,101190902
1846,涟水,101190905
1847,淮安区,101190908
1848,宿迁,101191301
1849,泗洪,101191304
1850,嘉鱼,101200703
1851,通山,101200706
1852,江陵,101200802
1853,监利,101200805
1854,沙市,101200808
1855,建始,101201003
1856,鹤峰,101201006
1857,神农架,101201201
1858,曾都,101201303
1859,萧山,101210102
1860,建德,101210105
1861,富阳,101210108
1862,江干,101210111
1863,滨江,101210114
1864,湖州,101210201
1865,德清,101210204
1866,丽水,101210801
1867,缙云,101210804
1868,庆元,101210807
1869,莲都,101210810
1870,兰溪,101210903
1871,武义,101210906
1872,婺城,101210909
1873,繁昌,101220302
1874,无为,101220305
1875,鸠江,101220308
1876,淮南,101220401
1877,大通,101220404
1878,八公山,101220407
1879,霍邱,101221502
1880,金寨,101221505
1881,裕安,101221508
1882,青阳,101221703
1883,贵池,101221706
1884,荔城,101230406
1885,安溪,101230502
1886,德化,101230505
1887,惠安,101230508
1888,鲤城,101230511
1889,泉港,101230514
1890,漳州,101230601
1891,平和,101230604
1892,华安,101230610
1893,吉水,101240603
1894,永丰,101240606
1895,万安,101240609
1896,安福,101240612
1897,青原,101240615
1898,大余,101240705
1899,石城,101240708
1900,会昌,101240711
1901,龙南,101240714
1902,兴国,101240717
1903,景德镇,101240801
1904,昌江,101240804
1905,上栗,101240903
1906,湘东,101240906
1907,鹰潭,101241101
1908,月湖,101241104
1909,长沙,101250101
1910,湘江新区,101250104
1911,芙蓉,101250107
1912,开福,101250110
1913,湘乡,101250203
1914,东安,101251403
1915,宁远,101251406
1916,新田,101251409
1917,零陵,101251412
1918,湄潭,101260205
1919,赤水,101260208
1920,正安,101260211
1921,汇川,101260214
1922,西秀,101260307
1923,瓮安,101260403
1924,惠水,101260406
1925,平塘,101260409
1926,荔波,101260412
1927,岑巩,101260502
1928,黄平,101260505
1929,丹寨,101260508
1930,剑河,101260511
1931,天柱,101260514
1932,从江,101260517
1933,开江,101270603
1934,万源,101270606
1935,蓬溪,101270702
1936,安居,101270705
1937,江阳,101271002
1938,叙永,101271005
1939,龙马潭,101271008
1940,汶川,101271902
1941,松潘,101271905
1942,小金,101271908
1943,壤塘,101271911
1944,广州,101280101
1945,增城,101280104
1946,越秀,101280107
1947,白云,101280110
1948,佛山,101280800
1949,南海,101280803
1950,广宁,101280902
1951,德庆,101280905
1952,高要,101280908
1953,清远,101281301
1954,连山,101281304
1955,英德,101281307
1956,新兴,101281403
1957,云安,101281406
1958,云龙,101290202
1959,宾川,101290205
1960,巍山,101290208
1961,鹤庆,101290211
1962,红河,101290301
1963,弥勒,101290304
1964,开远,101290307
1965,屏边,101290310
1966,河口,101290313
1967,普洱,101290901
1968,澜沧,101290904
1969,江城,101290907
1970,德宏,101291501
1971,盈江,101291504
1972,梁河,101291507
1973,勐海,101291603
1974,城中,101300303
1975,融安,101300306
1976,鱼峰,101300309
1977,贵港,101300801
1978,港北,101300804
1979,北流,101300903
1980,兴业,101300906
1981,东兰,101301203
1982,罗城,101301206
1983,南丹,101301209
1984,金城江,101301212
1985,合浦,101301302
1986,银海,101301305
1987,防城港,101301401
1988,港口,101301404
1989,临高,101310203
1990,昌江,101310206
1991,定安,101310209
1992,文昌,101310212
1993,万宁,101310215
1994,吉阳,101310218
1995,乐东,101310221
1996,西沙,101310302
1997,黄岩岛,101310305
1998,台北,101340101
1999,宜兰,101340104
2000,丰台,101010900
2001,房山,101011200
2002,闵行,101020200
2003,静安,101021400
2004,东丽,101030400
2005,河北,101031600
2006,渝中,101041200
2007,忠县,101042400
2008,秀山,101043600
2009,哈尔滨,101050101
2010,阿城,101050104
2011,巴彦,101050107
2012,延寿,101050110
2013,木兰,101050113
2014,道外,101050116
2015,香坊,101050119
2016,五营,101050803
2017,南岔,101050806
2018,翠峦,101050809
2019,金山屯,101050812
2020,带岭,101050815
2021,林甸,101050902
2022,杜尔伯特,101050905
2023,让胡路,101050908
2024,绥滨,101051202
2025,工农,101051205
2026,东山,101051208
2027,双鸭山,101051301
2028,饶河,101051304
2029,岭东,101051307
2030,德惠,101060103
2031,双阳,101060106
2032,舒兰,101060202
2033,磐石,101060205
2034,龙潭,101060208
2035,延吉,101060301
2036,汪清,101060304
2037,龙井,101060307
2038,新宾,101070402
2039,新抚,101070405
2040,顺城,101070408
2041,本溪,101070501
2042,桓仁,101070504
2043,南芬,101070507
2044,辽阳县,101071002
2045,白塔,101071005
2046,太子河,101071008
2047,红山,101080602
2048,巴林左旗,101080605
2049,克什克腾,101080608
2050,喀喇沁,101080611
2051,敖汉,101080614
2052,松山,101080617
2053,鄂尔多斯,101080701
2054,准格尔,101080704
2055,伊和乌素,101080707
2056,乌审旗,101080710
2057,东胜,101080713
2058,磴口,101080803
2059,乌中旗,101080806
2060,那仁宝力格,101080809
2061,科右中旗,101081103
2062,索伦,101081106
2063,科右前旗,101081109
2064,阿右旗,101081202
2065,吉兰太,101081205
2066,乌斯太,101081211
2067,正定,101090103
2068,灵寿,101090106
2069,赞皇,101090109
2070,元氏,101090112
2071,藁城,101090115
2072,鹿泉,101090118
2073,新华,101090121
2074,唐县,101090205
2075,竞秀,101090208
2076,枣强,101090802
2077,饶阳,101090805
2078,景县,101090808
2079,深州,101090811
2080,邢台,101090901
2081,内丘,101090904
2082,南和,101090907
2083,新河,101090910
2084,威县,101090913
2085,南宫,101090916
2086,桥西,101090919
2087,曲沃,101100702
2088,大宁,101100705
2089,蒲县,101100708
2090,霍州,101100711
2091,侯马,101100714
2092,古县,101100717
2093,运城,101100801
2094,万荣,101100804
2095,绛县,101100807
2096,永济,101100810
2097,平陆,101100813
2098,西安,101110101
2099,蓝田,101110104
2100,高陵,101110107
2101,莲湖,101110110
2102,雁塔,101110113
2103,咸阳,101110200
2104,永寿,101110203
2105,武功,101110206
2106,长武,101110209
2107,秦都,101110212
2108,延川,101110302
2109,富县,101110305
2110,甘泉,101110308
2111,黄龙,101110311
2112,渭滨,101110902
2113,岐山,101110905
2114,眉县,101110908
2115,陇县,101110911
2116,淄博,101120301
2117,高青,101120304
2118,桓台,101120307
2119,临邑,101120403
2120,乐陵,101120406
2121,宁津,101120409
2122,德城,101120412
2123,莱州,101120502
2124,龙口,101120505
2125,钢城,101121603
2126,冠县,101121702
2127,茌平,101121705
2128,东昌府,101121708
2129,吐鲁番,101130501
2130,鄯善,101130504
2131,尉犁,101130603
2132,和静,101130606
2133,巴音郭楞,101130609
2134,博湖,101130612
2135,察布查尔,101131002
2136,巩留,101131005
2137,特克斯,101131008
2138,奎屯,101131011
2139,塔城,101131101
2140,和布克赛尔,101131104
2141,沙湾,101131107
2142,巴里坤,101131203
2143,昆玉,101131920
2144,可克达拉,101132301
2145,拉萨,101140101
2146,湟源,101150103
2147,城中,101150106
2148,乐都,101150202
2149,化隆,101150205
2150,同仁,101150301
2151,河南,101150304
2152,西峰,101160402
2153,合水,101160405
2154,镇原,101160408
2155,武威,101160501
2156,凉州,101160504
2157,金川,101160603
2158,荥阳,101180103
2159,新郑,101180106
2160,中原,101180109
2161,金水,101180112
2162,汤阴,101180202
2163,林州,101180205
2164,殷都,101180208
2165,方城,101180703
2166,内乡,101180706
2167,桐柏,101180712
2168,杞县,101180802
2169,兰考,101180805
2170,鼓楼,101180808
2171,洛阳,101180901
2172,宜阳,101180904
2173,嵩县,101180907
2174,汝阳,101180910
2175,西工,101180913
2176,洛龙,101180916
2177,南乐,101181303
2178,华龙,101181306
2179,扶沟,101181402
2180,西华,101181405
2181,郸城,101181408
2182,川汇,101181411
2183,漯河,101181501
2184,源汇,101181504
2185,无锡,101190201
2186,锡山,101190204
2187,梁溪,101190207
2188,扬中,101190303
2189,京口,101190306
2190,武汉,101200101
2191,新洲,101200104
2192,江岸,101200107
2193,汉阳,101200110
2194,洪山,101200113
2195,保康,101200203
2196,老河口,101200206
2197,襄城,101200209
2198,远安,101200902
2199,西陵,101200905
2200,长阳,101200908
2201,三峡,101200911
2202,点军,101200914
2203,京山,101201403
2204,东宝,101201406
2205,嘉兴,101210301
2206,桐乡,101210304
2207,南湖,101210307
2208,慈溪,101210403
2209,象山,101210406
2210,江北,101210409
2211,镇海,101210412
2212,开化,101211003
2213,衢江,101211006
2214,马鞍山,101220501
2215,和县,101220504
2216,博望,101220507
2217,太湖,101220603
2218,宿松,101220606
2219,桐城,101220609
2220,宜秀,101220612
2221,黄山区,101221002
2222,黟县,101221005
2223,黄山风景区(光明顶,101221008
2224,滁州,101221101
2225,定远,101221104
2226,天长,101221107
2227,杜集,101221203
2228,东山,101230608
2229,龙岩,101230701
2230,武平,101230704
2231,漳平,101230707
2232,清流,101230803
2233,建宁,101230806
2234,尤溪,101230809
2235,梅列,101230812
2236,顺昌,101230902
2237,南昌县,101240103
2238,东湖,101240106
2239,湾里,101240109
2240,瑞昌,101240202
2241,德安,101240205
2242,彭泽,101240208
2243,浔阳,101240211
2244,濂溪,101240214
2245,醴陵,101250303
2246,炎陵,101250306
2247,天元,101250309
2248,衡山,101250402
2249,衡阳县,101250405
2250,耒阳,101250408
2251,雁峰,101250411
2252,郴州,101250501
2253,宜章,101250504
2254,桃源,101250603
2255,临澧,101250606
2256,武陵,101250609
2257,永顺,101251503
2258,泸溪,101251506
2259,湘西,101251509
2260,江口,101260602
2261,思南,101260605
2262,石阡,101260608
2263,松桃,101260611
2264,毕节,101260701
2265,威宁,101260704
2266,织金,101260707
2267,六盘水,101260803
2268,新都,101270103
2269,双流,101270106
2270,仁和,101270202
2271,东区,101270205
2272,岳池,101270802
2273,华蓥,101270805
2274,巴中,101270901
2275,平昌,101270904
2276,翠屏,101271102
2277,江安,101271105
2278,珙县,101271108
2279,屏山,101271111
2280,内江,101271201
2281,资中,101271204
2282,乐至,101271303
2283,犍为,101271402
2284,沐川,101271405
2285,沙湾,101271411
2286,峨眉山市,101271414
2287,眉山,101271501
2288,洪雅,101271504
2289,东坡,101271507
2290,韶关,101280201
2291,翁源,101280204
2292,南雄,101280207
2293,浈江,101280210
2294,惠阳,101280303
2295,惠城,101280306
2296,梅江,101280405
2297,潮安,101281503
2298,茂名,101282001
2299,电白,101282004
2300,茂南,101282007
2301,曲靖,101290401
2302,富源,101290404
2303,罗平,101290407
2304,麒麟,101290410
2305,龙陵,101290503
2306,腾冲,101290506
2307,昭通,101291001
2308,镇雄,101291004
2309,绥江,101291007
2310,大关,101291010
2311,耿马,101291103
2312,永德,101291106
2313,临翔,101291109
2314,邕宁,101300103
2315,马山,101300106
2316,宾阳,101300109
2317,西乡塘,101300112
2318,天等,101300202
2319,大新,101300205
2320,江州,101300208
2321,秀峰,101300502
2322,临桂,101300505
2323,全州,101300508
2324,恭城,101300511
2325,资源,101300514
2326,七星,101300517
2327,香港,101320101
2328,路环岛,101330103
2329,高雄,101340201
2330,台东,101340204
2331,苗栗,101340402
2332,花莲,101340405
2333,昌平,101010700
2334,密云,101011300
2335,宝山,101020300
2336,普陀,101021500
2337,西青,101030500
2338,红桥,101031700
2339,渝北,101040700
2340,长寿,101041000
2341,奉节,101041900
2342,石柱,101042500
2343,江北,101043700
2344,双城,101050102
2345,宾县,101050105
2346,通河,101050108
2347,尚志,101050111
2348,道里,101050114
2349,平房,101050117
2350,伊春,101050801
2351,铁力,101050804
2352,友好,101050807
2353,新青,101050810
2354,乌马河,101050813
2355,红星,101050816
2356,肇州,101050903
2357,萨尔图,101050906
2358,红岗,101050909
2359,萝北,101051203
2360,南山,101051206
2361,兴山,101051209
2362,集贤,101051302
2363,友谊,101051305
2364,四方台,101051308
2365,长春,101060101
2366,九台,101060104
2367,永吉,101060203
2368,桦甸,101060206
2369,船营,101060209
2370,敦化,101060302
2371,和龙,101060305
2372,珲春,101060308
2373,清原,101070403
2374,东洲,101070406
2375,本溪县,101070502
2376,溪湖,101070505
2377,灯塔,101071003
2378,文圣,101071006
2379,阿鲁旗,101080603
2380,巴林右旗,101080606
2381,翁牛特,101080609
2382,八里罕,101080612
2383,富河,101080618
2384,鄂前旗,101080705
2385,鄂托克,101080708
2386,伊金霍洛,101080711
2387,康巴什,101080714
2388,临河,101080801
2389,乌前旗,101080804
2390,乌后旗,101080807
2391,杭锦后旗,101080810
2392,乌兰浩特,101081101
2393,胡尔勒,101081104
2394,突泉,101081107
2395,高力板,101081110
2396,额济纳,101081203
2397,巴彦诺日公,101081209
2398,孪井滩,101081212
2399,石家庄,101090101
2400,栾城,101090104
2401,高邑,101090107
2402,无极,101090110
2403,赵县,101090113
2404,晋州,101090116
2405,长安,101090119
2406,井陉矿区,101090122
2407,阜平,101090203
2408,高阳,101090206
2409,涞源,101090209
2410,易县,101090212
2411,蠡县,101090215
2412,涿州,101090218
2413,武邑,101090803
2414,安平,101090806
2415,阜城,101090809
2416,桃城,101090812
2417,临城,101090902
2418,柏乡,101090905
2419,宁晋,101090908
2420,广宗,101090911
2421,清河,101090914
2422,沙河,101090917
2423,永和,101100703
2424,吉县,101100706
2425,汾西,101100709
2426,乡宁,101100712
2427,浮山,101100715
2428,尧都,101100718
2429,临猗,101100802
2430,河津,101100805
2431,闻喜,101100808
2432,芮城,101100811
2433,盐湖,101100814
2434,长安,101110102
2435,周至,101110105
2436,新城,101110108
2437,灞桥,101110111
2438,阎良,101110114
2439,三原,101110201
2440,淳化,101110204
2441,乾县,101110207
2442,旬邑,101110210
2443,渭城,101110213
2444,延安,101110300
2445,子长,101110303
2446,志丹,101110306
2447,洛川,101110309
2448,吴起,101110312
2449,千阳,101110903
2450,凤翔,101110906
2451,太白,101110909
2452,陈仓,101110912
2453,淄川,101120302
2454,周村,101120305
2455,临淄,101120308
2456,德州,101120401
2457,陵县,101120404
2458,庆云,101120407
2459,夏津,101120410
2460,陵城,101120413
2461,长岛,101120503
2462,招远,101120506
2463,莱芜,101121601
2464,阳谷,101121703
2465,东阿,101121706
2466,莘县,101121709
2467,托克逊,101130502
2468,库尔勒,101130601
2469,若羌,101130604
2470,焉耆,101130607
2471,巴音布鲁克,101130610
2472,塔中,101130613
2473,尼勒克,101131003
2474,新源,101131006
2475,霍城,101131009
2476,伊犁,101131012
2477,裕民,101131102
2478,托里,101131105
2479,哈密,101131201
2480,伊吾,101131204
2481,西宁,101150101
2482,湟中,101150104
2483,城西,101150107
2484,民和,101150203
2485,循化,101150206
2486,尖扎,101150302
2487,黄南,101150305
2488,环县,101160403
2489,正宁,101160406
2490,庆城,101160409
2491,民勤,101160502
2492,天祝,101160505
2493,金昌,101160601
2494,郑州,101180101
2495,登封,101180104
2496,中牟,101180107
2497,二七,101180110
2498,惠济,101180113
2499,滑县,101180203
2500,文峰,101180206
2501,龙安,101180209
2502,南阳,101180701
2503,镇平,101180707
2504,唐河,101180710
2505,宛城,101180713
2506,尉氏,101180803
2507,龙亭,101180806
2508,禹王台,101180809
2509,新安,101180902
2510,洛宁,101180905
2511,偃师,101180908
2512,吉利,101180911
2513,瀍河,101180914
2514,濮阳,101181301
2515,清丰,101181304
2516,太康,101181403
2517,商水,101181406
2518,鹿邑,101181409
2519,临颍,101181502
2520,郾城,101181505
2521,江阴,101190202
2522,惠山,101190205
2523,新吴,101190208
2524,镇江,101190301
2525,句容,101190304
2526,润州,101190307
2527,蔡甸,101200102
2528,江夏,101200105
2529,江汉,101200108
2530,武昌,101200111
2531,汉南,101200114
2532,襄阳,101200201
2533,南漳,101200204
2534,谷城,101200207
2535,樊城,101200210
2536,秭归,101200903
2537,五峰,101200906
2538,宜都,101200909
2539,夷陵,101200912
2540,猇亭,101200915
2541,荆门,101201401
2542,掇刀,101201404
2543,嘉善,101210302
2544,平湖,101210305
2545,秀洲,101210308
2546,宁波,101210401
2547,余姚,101210404
2548,北仑,101210410
2549,衢州,101211001
2550,龙游,101211004
2551,柯城,101211007
2552,当涂,101220502
2553,花山,101220505
2554,安庆,101220601
2555,潜山,101220604
2556,望江,101220607
2557,迎江,101220610
2558,屯溪,101221003
2559,歙县,101221006
2560,徽州,101221009
2561,凤阳,101221102
2562,全椒,101221105
2563,琅琊,101221108
2564,淮北,101221201
2565,相山,101221204
2566,云霄,101230609
2567,长汀,101230702
2568,上杭,101230705
2569,新罗,101230708
2570,三明,101230801
2571,泰宁,101230804
2572,明溪,101230807
2573,永安,101230810
2574,三元,101230813
2575,光泽,101230903
2576,南昌,101240101
2577,安义,101240104
2578,西湖,101240107
2579,青山湖,101240110
2580,庐山,101240203
2581,永修,101240206
2582,修水,101240212
2583,柴桑,101240215
2584,株洲,101250301
2585,荷塘,101250304
2586,芦淞,101250307
2587,衡东,101250403
2588,常宁,101250406
2589,南岳,101250409
2590,石鼓,101250412
2591,桂阳,101250502
2592,临武,101250505
2593,常德,101250601
2594,汉寿,101250604
2595,石门,101250607
2596,鼎城,101250610
