,城市,编号
314,易门,101290707
315,红塔,101290710
316,元谋,101290803
317,南华,101290806
318,双柏,101290809
319,泸水,101291205
320,香格里拉,101291301
321,华坪,101291403
322,玉龙,101291406
323,梧州,101300601
324,苍梧,101300604
325,长洲,101300607
326,富川,101300703
327,平桂,101300706
328,田阳,101301003
329,田东,101301006
330,西林,101301009
331,田林,101301012
332,浦北,101301102
333,钦北,101301105
334,秀英,101310102
335,美兰,101310105
336,顺义,101010400
337,东城,101011600
338,浦东新区,101020600
339,和平,101030800
340,滨海新区,101031100
341,重庆,101040100
342,万州,101041300
343,铜梁,101042800
344,武隆,101043100
345,穆棱,101050303
346,宁安,101050306
347,阳明,101050309
348,汤原,101050402
349,桦南,101050405
350,向阳,101050408
351,郊区,101050411
352,柳河,101060503
353,通化县,101060506
354,洮南,101060602
355,通榆,101060605
356,辽源,101060701
357,龙山,101060704
358,古塔,101070703
359,北镇,101070706
360,大石桥,101070802
361,西市,101070805
362,阜新,101070901
363,新邱,101070904
364,细河,101070907
365,朝阳,101071201
366,喀左,101071204
367,建平县,101071207
368,盘山,101071303
369,土左旗,101080102
370,清水河,101080105
371,新城,101080108
372,包头,101080201
373,土右旗,101080204
374,希拉穆仁,101080207
375,青山,101080210
376,海南,101080303
377,二连浩特,101080903
378,苏左旗,101080906
379,东乌旗,101080909
380,镶黄旗,101080912
381,多伦,101080915
382,宣化,101090302
383,沽源,101090305
384,阳原,101090308
385,怀来,101090311
386,崇礼,101090314
387,下花园,101090317
388,双桥,101090401
389,兴隆,101090404
390,隆化,101090407
391,围场,101090410
392,丰润,101090503
393,乐亭,101090506
394,曹妃甸,101090509
395,古冶,101090515
396,阳高,101100202
397,广灵,101100205
398,左云,101100208
399,新荣,101100211
400,阳泉,101100301
401,矿区,101100304
402,府谷,101110402
403,定边,101110405
404,米脂,101110408
405,吴堡,101110411
406,渭南,101110501
407,大荔,101110504
408,蒲城,101110507
409,韩城,101110510
410,华州,101110513
411,柞水,101110603
412,丹凤,101110606
413,王益,101111005
414,青州,101120602
415,昌乐,101120605
416,高密,101120608
